"course_name","date","tees","hole","par","gross","stroke","lie","club","yds_to_target","yds_traveled","on_target","miss_direction","shot_type"
"Dell Urich","2026-02-22","combo","hole_12",4,4,1,"tee","D",270,281,"yes","on_target","full"
"Dell Urich","2026-02-22","combo","hole_14",4,7,1,"tee","D",270,256,"yes","short","full"
"Randolph North","2026-03-08","blue","hole_1",4,5,1,"tee","4",220,228,"no","left","tee"
"Randolph North","2026-03-08","blue","hole_5",4,5,3,"fairway","PW",16,8,"yes","on_target","chip"
"Randolph North","2026-03-08","blue","hole_9",5,5,2,"rough","5",200,176,"yes","short","punch"
"Randolph North","2026-03-08","blue","hole_14",4,5,2,"rough","9",160,165,"yes","on_target","full"
"Randolph North","2026-03-08","blue","hole_15",3,4,2,"rough","PW",20,25,"yes","on_target","chip"
"Dell Urich","2026-03-29","blue","hole_8",4,7,2,"rough","4",20,89,"yes","short","punch"
"Dell Urich","2026-03-29","blue","hole_9",3,4,1,"tee","6",195,184,"no","right","tee"
"Dell Urich","2026-03-29","blue","hole_13",5,4,1,"tee","D",270,260,"no","right","tee"
"Dell Urich","2026-03-29","blue","hole_17",3,3,1,"tee","PW",155,144,"no","long","choked"
"Randolph North","2026-04-05","blue","hole_1",4,4,3,"fairway","PW",10,8,"yes","on_target","chip"
"Randolph North","2026-04-05","blue","hole_5",4,5,1,"tee","D",270,255,"no","right","tee"
"Randolph North","2026-04-05","blue","hole_16",5,6,1,"tee","D",270,248,"no","right","tee"
"Randolph North","2026-04-19","blue","hole_12",4,6,2,"rough","GW",120,73,"no","short","full"
"Randolph North","2026-04-19","blue","hole_15",3,4,2,"fairway","PW",30,38,"no","long","chip"
"Randolph North","2026-04-19","blue","hole_15",3,4,3,"fairway","PW",8,6,"yes","on_target","chip"
"Randolph North","2026-04-19","blue","hole_16",5,5,1,"tee","D",275,285,"yes","on_target","tee"
"Randolph North","2026-04-19","blue","hole_18",4,8,6,"sand","LW",10,7,"yes","on_target","gsbunker"
"Dell Urich","2026-04-26","combo","hole_10",4,4,3,"fairway","P",10,9,"yes","on_target","chip"
"Dell Urich","2026-04-26","combo","hole_17",3,5,2,"tee","PW",130,145,"yes","on_target","tee"
"Randolph North","2026-01-04","combo","hole_3",5,5,3,"fairway","GW",60,60,"no","short","choked"
"Randolph North","2026-01-04","combo","hole_13",5,5,2,"fairway","7",180,180,"yes","on_target","full"
"Dell Urich","2026-01-11","combo","hole_4",4,6,3,"rough","PW",115,23,"no","short","full"
"Silverbell","2026-01-18","white","hole_18",5,5,1,"tee","D",270,236,"no","short","full"
"Randolph North","2026-01-25","combo","hole_10",4,5,2,"fairway","9",150,138,"no","short","full"
"Randolph North","2026-01-25","combo","hole_17",4,6,3,"fairway","GW",65,87,"no","long","choked"
"Randolph North","2026-02-08","combo","hole_2",4,5,2,"rough","SW",50,37,"no","short","chip"
"Randolph North","2026-02-08","combo","hole_12",4,6,3,"fairway","GW",100,87,"no","right","choked"
"Randolph North","2026-02-08","combo","hole_12",4,6,4,"rough","SW",50,43,"yes","on_target","chip"
"Dell Urich","2026-02-22","combo","hole_7",4,7,1,"tee","D",270,200,"no","left","full"
"Dell Urich","2026-02-22","combo","hole_9",3,5,1,"tee","8",174,154,"no","short","full"
"Dell Urich","2026-02-22","combo","hole_14",4,7,2,"fairway","5",155,153,"no","right","full"
"Dell Urich","2026-02-22","combo","hole_18",4,6,2,"fwbunker","5",200,113,"no","short","full"
"Randolph North","2026-03-08","blue","hole_2",4,5,4,"rough","PW",21,20,"yes","on_target","chip"
"Randolph North","2026-03-08","blue","hole_9",5,5,1,"tee","D",270,268,"no","right","tee"
"Randolph North","2026-03-08","blue","hole_18",4,6,3,"rough","GW",100,69,"no","short","full"
"Dell Urich","2026-03-29","blue","hole_9",3,4,2,"rough","PW",15,25,"yes","on_target","chip"
"Dell Urich","2026-03-29","blue","hole_13",5,4,2,"rough","6",220,215,"no","right","full"
"Dell Urich","2026-03-29","blue","hole_14",4,6,2,"rough","4",220,236,"no","short","full"
"Randolph North","2026-04-05","blue","hole_3",5,5,1,"tee","D",270,272,"yes","on_target","tee"
"Randolph North","2026-04-05","blue","hole_8",3,4,2,"rough","SW",40,36,"yes","on_target","chip"
"Randolph North","2026-04-05","blue","hole_16",5,6,4,"fairway","GW",10,6,"yes","on_target","chip"
"Randolph North","2026-04-19","blue","hole_8",3,4,1,"tee","5",200,221,"no","right","tee"
"Randolph North","2026-04-19","blue","hole_10",4,4,1,"tee","D",275,294,"no","left","tee"
"Randolph North","2026-04-19","blue","hole_18",4,8,2,"fairway","7",185,154,"no","right","full"
