"course_name","lat","long","tees","to_par","slope","course_rating","hole","yds","par","hole_handicap"
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,11,425,4,1
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,12,344,4,17
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,13,176,3,7
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,14,322,4,11
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,15,366,4,15
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,16,388,4,5
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,17,193,3,3
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,18,534,5,9
"El Rio",32.2389473,-110.9982372,"white",70,119,67,1,368,4,12
"El Rio",32.2389473,-110.9982372,"white",70,119,67,2,373,4,6
"El Rio",32.2389473,-110.9982372,"white",70,119,67,3,400,4,4
"El Rio",32.2389473,-110.9982372,"white",70,119,67,4,103,3,18
"El Rio",32.2389473,-110.9982372,"white",70,119,67,5,418,4,2
"El Rio",32.2389473,-110.9982372,"white",70,119,67,6,158,3,16
"El Rio",32.2389473,-110.9982372,"white",70,119,67,7,356,4,8
"El Rio",32.2389473,-110.9982372,"white",70,119,67,8,320,4,14
"El Rio",32.2389473,-110.9982372,"white",70,119,67,9,492,5,10
"El Rio",32.2389473,-110.9982372,"white",70,119,67,10,323,4,13
"El Rio",32.2389473,-110.9982372,"white",70,119,67,11,425,4,1
"El Rio",32.2389473,-110.9982372,"white",70,119,67,12,322,4,17
"El Rio",32.2389473,-110.9982372,"white",70,119,67,13,176,3,7
"El Rio",32.2389473,-110.9982372,"white",70,119,67,14,306,4,11
"El Rio",32.2389473,-110.9982372,"white",70,119,67,15,356,4,15
"El Rio",32.2389473,-110.9982372,"white",70,119,67,16,388,4,5
"El Rio",32.2389473,-110.9982372,"white",70,119,67,17,193,3,3
"El Rio",32.2389473,-110.9982372,"white",70,119,67,18,534,5,9
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,1,401,4,12
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,2,547,5,6
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,3,211,3,8
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,4,321,4,16
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,5,402,4,4
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,6,151,3,18
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,7,345,4,14
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,8,393,4,2
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,9,495,5,10
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,10,368,4,13
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,11,223,3,9
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,12,507,5,5
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,13,340,4,15
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,14,553,5,3
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,15,157,3,17
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,16,388,4,11
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,17,375,4,7
"Fred Enke",32.1686901,-110.8119298,"blue",72,130,71.4,18,452,4,1
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,1,368,4,12
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,2,176,5,6
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,3,466,3,8
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,4,340,4,16
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,5,553,4,4
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,6,122,3,18
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,7,388,4,14
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,8,375,4,2
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,9,412,5,10
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,10,401,4,13
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,11,508,3,9
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,12,211,5,5
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,13,300,4,15
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,14,342,5,3
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,15,151,3,17
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,16,333,4,11
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,17,393,4,7
"Fred Enke",32.1686901,-110.8119298,"combo",72,124,70,18,466,4,1
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,1,379,4,12
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,2,508,5,6
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,3,185,3,8
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,4,300,4,16
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,5,342,4,4
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,6,130,3,18
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,7,333,4,14
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,8,349,4,2
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,9,466,5,10
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,10,338,4,13
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,11,176,3,9
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,12,466,5,5
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,13,318,4,15
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,14,533,5,3
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,15,122,3,17
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,16,369,4,11
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,17,328,4,7
"Fred Enke",32.1686901,-110.8119298,"white",72,120,68.6,18,412,4,1
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,1,524,5,5
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,2,332,4,11
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,3,417,4,3
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,4,320,4,9
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,5,490,4,7
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,6,200,3,15
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,7,501,5,1
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,8,202,3,13
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,9,302,4,17
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,10,334,4,8
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,11,256,3,10
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,12,574,5,2
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,13,368,4,16
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,14,405,4,6
"Quarry Pines",32.361187,-111.1022155,"blue",71,135,71.1,15,134,3,18
